Point ID,arc_length,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
231,0.004620,-0.000005,0.050000,0.004620,0.005000,0.050461,0.004788,0.000110,0.000000,0.004790,1
232,0.004640,-0.000005,0.050000,0.004640,0.005000,0.050463,0.004800,0.000110,0.000000,0.004801,1
233,0.004660,-0.000005,0.050000,0.004660,0.005000,0.050465,0.004811,0.000110,0.000000,0.004812,1
234,0.004680,-0.000005,0.050000,0.004680,0.005000,0.050467,0.004822,0.000111,0.000000,0.004823,1
235,0.004700,-0.000005,0.050000,0.004700,0.005000,0.050469,0.004833,0.000111,0.000000,0.004835,1
236,0.004720,-0.000005,0.050000,0.004720,0.005000,0.050471,0.004845,0.000111,0.000000,0.004846,1
237,0.004740,-0.000005,0.050000,0.004740,0.005000,0.050472,0.004856,0.000111,0.000000,0.004857,1
238,0.004760,-0.000005,0.050000,0.004760,0.005000,0.050474,0.004867,0.000112,0.000000,0.004868,1
239,0.004780,-0.000005,0.050000,0.004780,0.005000,0.050476,0.004878,0.000112,0.000000,0.004880,1
240,0.004800,-0.000005,0.050000,0.004800,0.005000,0.050478,0.004890,0.000112,-0.000000,0.004891,1
241,0.004820,-0.000005,0.050000,0.004820,0.005000,0.050480,0.004901,0.000112,-0.000000,0.004902,1
242,0.004840,-0.000005,0.050000,0.004840,0.005000,0.050482,0.004912,0.000113,-0.000000,0.004913,1
243,0.004860,-0.000005,0.050000,0.004860,0.005000,0.050484,0.004923,0.000113,-0.000000,0.004925,1
244,0.004880,-0.000005,0.050000,0.004880,0.005000,0.050486,0.004935,0.000113,-0.000000,0.004936,1
